vertical,sample,arm,judge_score,deterministic_baseline_score,judge_method,elapsed_s,rule_pack_critical,rule_pack_high,rule_pack_medium,rule_pack_low,success_aggregate,rationale_first_200
contract,sample-msa-clean.json,deterministic,1.0,,deterministic_severity_weighted,6.61,0,0,0,0,True,
contract,sample-msa-clean.json,ollama,,1.0,llm_judge:ollama,6.61,0,0,0,0,False,ollama_error: HTTP Error 404: Not Found
